timestamp,dac,voltage,current,rpm,temperature,do,clean_do,family,sample_index
0.0,2.856,30.4622,0.6413,57.1753,27.0693,6.1,6.1,drift,0
5.0,2.8546,30.5622,0.6406,56.4726,27.1054,6.1051,6.104,drift,1
10.0,2.857,30.6779,0.6304,56.3475,27.1257,6.0992,6.0969,drift,2
15.0,2.8568,30.7914,0.6329,57.4259,27.3232,6.101,6.0976,drift,3
20.0,2.8556,30.6731,0.643,56.393,27.2354,6.1056,6.101,drift,4
25.0,2.8511,30.2041,0.6397,57.1446,27.3295,6.1202,6.1145,drift,5
30.0,2.8512,30.5538,0.648,57.0551,27.3662,6.1207,6.114,drift,6
35.0,2.8491,30.5382,0.6378,56.5142,27.4012,6.128,6.1202,drift,7
40.0,2.8513,30.4827,0.6371,56.8465,27.4836,6.1228,6.1138,drift,8
45.0,2.8498,30.4239,0.6263,56.6135,27.6832,6.1283,6.1182,drift,9
50.0,2.85,30.6643,0.6383,56.9859,27.6785,6.1289,6.1177,drift,10
55.0,2.8509,30.6289,0.6489,56.6917,27.7425,6.1273,6.115,drift,11
60.0,2.8505,30.4889,0.6346,56.5363,27.8325,6.1297,6.1163,drift,12
65.0,2.8525,30.5112,0.6354,57.1066,27.8685,6.1247,6.1102,drift,13
70.0,2.8525,30.4806,0.636,56.293,28.1311,6.1257,6.1102,drift,14
75.0,2.8542,30.5177,0.6287,56.9374,27.911,6.122,6.1054,drift,15
80.0,2.8543,30.6294,0.6426,56.9363,27.9611,6.1226,6.105,drift,16
85.0,2.8566,30.7014,0.6256,56.5101,27.9812,6.1169,6.0982,drift,17
90.0,2.8571,30.4917,0.6422,57.3477,28.1109,6.1164,6.0967,drift,18
95.0,2.8571,30.5732,0.6382,57.4929,28.0648,6.1176,6.0969,drift,19
100.0,2.8538,30.6499,0.6348,57.1023,28.3008,6.1283,6.1066,drift,20
105.0,2.8598,30.6828,0.6425,57.7257,28.2996,6.1115,6.0888,drift,21
110.0,2.8607,30.8727,0.6494,57.5161,28.2648,6.1099,6.0862,drift,22
115.0,2.8636,30.7838,0.6303,57.2461,28.3532,6.1023,6.0776,drift,23
120.0,2.867,30.8402,0.653,57.7021,28.4599,6.0933,6.0677,drift,24
125.0,2.868,30.7314,0.6452,57.1956,28.1632,6.0912,6.0647,drift,25
130.0,2.8676,30.9593,0.6398,57.122,28.2686,6.0933,6.0659,drift,26
135.0,2.8689,31.0014,0.6558,57.56,28.3662,6.0903,6.062,drift,27
140.0,2.8712,30.7919,0.6318,57.5782,28.3933,6.0847,6.0554,drift,28
145.0,2.8714,31.0069,0.6461,57.4686,28.2687,6.0849,6.0547,drift,29
150.0,2.8749,31.1309,0.6528,57.8066,28.4596,6.0755,6.0445,drift,30
155.0,2.8743,31.0936,0.6501,57.3619,28.4888,6.0781,6.0462,drift,31
160.0,2.8752,30.948,0.6488,58.0274,28.4409,6.0763,6.0436,drift,32
165.0,2.8739,30.896,0.6386,57.7741,28.4449,6.0809,6.0474,drift,33
170.0,2.8754,30.9588,0.6447,58.1801,28.4245,6.0772,6.0429,drift,34
175.0,2.8777,30.9987,0.6348,57.9753,28.5118,6.0711,6.0361,drift,35
180.0,2.8801,31.111,0.6555,58.1645,28.3505,6.0649,6.0291,drift,36
185.0,2.8806,31.0263,0.6283,57.4073,28.4451,6.0643,6.0278,drift,37
