timestamp,dac,voltage,current,rpm,temperature,do,clean_do,family,sample_index
0.0,2.856,30.4622,0.6413,57.1753,27.0693,6.107,6.1,pli,0
5.0,2.8546,30.5622,0.6467,56.4726,27.1053,6.1158,6.104,pli,1
10.0,2.857,30.6779,0.6422,56.3475,27.1253,6.1123,6.0969,pli,2
15.0,2.8568,30.7914,0.649,57.4259,27.3227,6.1151,6.0976,pli,3
20.0,2.8556,30.6731,0.6621,56.393,27.2347,6.119,6.101,pli,4
25.0,2.8511,30.2041,0.6597,57.1446,27.3285,6.1311,6.1145,pli,5
30.0,2.8512,30.5538,0.6671,57.0551,27.3651,6.1276,6.114,pli,6
35.0,2.8491,30.5382,0.654,56.5142,27.3999,6.1294,6.1202,pli,7
40.0,2.8513,30.4827,0.6488,56.8465,27.4821,6.1179,6.1138,pli,8
45.0,2.8498,30.4239,0.6324,56.6135,27.6815,6.1167,6.1182,pli,9
50.0,2.85,30.6643,0.6383,56.9859,27.6766,6.1107,6.1177,pli,10
55.0,2.8509,30.6289,0.6427,56.6917,27.7404,6.1032,6.115,pli,11
60.0,2.8505,30.4889,0.6228,56.5363,27.8302,6.1009,6.1163,pli,12
65.0,2.8525,30.5112,0.6192,57.1066,27.866,6.0927,6.1102,pli,13
70.0,2.8525,30.4806,0.617,56.293,28.1284,6.0923,6.1102,pli,14
75.0,2.8542,30.5177,0.6087,56.9374,27.9081,6.0888,6.1054,pli,15
80.0,2.8543,30.6294,0.6236,56.9363,27.9581,6.0914,6.105,pli,16
85.0,2.8566,30.7014,0.6095,56.5101,27.978,6.0889,6.0982,pli,17
90.0,2.8571,30.4917,0.6304,57.3477,28.1075,6.0926,6.0967,pli,18
95.0,2.8571,30.5732,0.632,57.4929,28.0612,6.0985,6.0969,pli,19
100.0,2.8538,30.6499,0.6348,57.1023,28.297,6.1136,6.1066,pli,20
105.0,2.8598,30.6828,0.6487,57.7257,28.2956,6.1006,6.0888,pli,21
110.0,2.8607,30.8727,0.6612,57.5161,28.2606,6.1016,6.0862,pli,22
115.0,2.8636,30.7838,0.6465,57.2461,28.3488,6.0952,6.0776,pli,23
120.0,2.867,30.8402,0.672,57.7021,28.4553,6.0857,6.0677,pli,24
125.0,2.868,30.7314,0.6652,57.1956,28.1585,6.0812,6.0647,pli,25
130.0,2.8676,30.9593,0.6588,57.122,28.2636,6.0795,6.0659,pli,26
135.0,2.8689,31.0014,0.672,57.56,28.3611,6.0712,6.062,pli,27
140.0,2.8712,30.7919,0.6436,57.5782,28.3879,6.0595,6.0554,pli,28
145.0,2.8714,31.0069,0.6523,57.4686,28.2631,6.0532,6.0547,pli,29
