timestamp,dac,voltage,current,rpm,temperature,do,clean_do,family,sample_index
0.0,2.856,30.4622,0.64,57.1753,27.05,6.1,6.1,quantization,0
5.0,2.8546,30.5622,0.64,56.4726,27.1,6.1,6.104,quantization,1
10.0,2.857,30.6779,0.63,56.3475,27.15,6.1,6.0969,quantization,2
15.0,2.8568,30.7914,0.63,57.4259,27.3,6.1,6.0976,quantization,3
20.0,2.8556,30.6731,0.64,56.393,27.25,6.1,6.101,quantization,4
25.0,2.8511,30.2041,0.64,57.1446,27.35,6.12,6.1145,quantization,5
30.0,2.8512,30.5538,0.65,57.0551,27.35,6.12,6.114,quantization,6
35.0,2.8491,30.5382,0.64,56.5142,27.4,6.12,6.1202,quantization,7
40.0,2.8513,30.4827,0.64,56.8465,27.5,6.12,6.1138,quantization,8
45.0,2.8498,30.4239,0.63,56.6135,27.7,6.12,6.1182,quantization,9
50.0,2.85,30.6643,0.64,56.9859,27.7,6.12,6.1177,quantization,10
55.0,2.8509,30.6289,0.65,56.6917,27.75,6.12,6.115,quantization,11
60.0,2.8505,30.4889,0.63,56.5363,27.85,6.12,6.1163,quantization,12
65.0,2.8525,30.5112,0.64,57.1066,27.85,6.12,6.1102,quantization,13
70.0,2.8525,30.4806,0.64,56.293,28.15,6.12,6.1102,quantization,14
75.0,2.8542,30.5177,0.63,56.9374,27.9,6.1,6.1054,quantization,15
80.0,2.8543,30.6294,0.64,56.9363,27.95,6.1,6.105,quantization,16
85.0,2.8566,30.7014,0.63,56.5101,28.0,6.1,6.0982,quantization,17
90.0,2.8571,30.4917,0.64,57.3477,28.1,6.1,6.0967,quantization,18
95.0,2.8571,30.5732,0.64,57.4929,28.05,6.1,6.0969,quantization,19
100.0,2.8538,30.6499,0.63,57.1023,28.3,6.1,6.1066,quantization,20
105.0,2.8598,30.6828,0.64,57.7257,28.3,6.08,6.0888,quantization,21
110.0,2.8607,30.8727,0.65,57.5161,28.25,6.08,6.0862,quantization,22
115.0,2.8636,30.7838,0.63,57.2461,28.35,6.08,6.0776,quantization,23
120.0,2.867,30.8402,0.65,57.7021,28.45,6.06,6.0677,quantization,24
125.0,2.868,30.7314,0.65,57.1956,28.15,6.06,6.0647,quantization,25
130.0,2.8676,30.9593,0.64,57.122,28.25,6.06,6.0659,quantization,26
135.0,2.8689,31.0014,0.66,57.56,28.35,6.06,6.062,quantization,27
140.0,2.8712,30.7919,0.63,57.5782,28.4,6.06,6.0554,quantization,28
145.0,2.8714,31.0069,0.65,57.4686,28.25,6.06,6.0547,quantization,29
150.0,2.8749,31.1309,0.65,57.8066,28.45,6.04,6.0445,quantization,30
155.0,2.8743,31.0936,0.65,57.3619,28.5,6.04,6.0462,quantization,31
160.0,2.8752,30.948,0.65,58.0274,28.45,6.04,6.0436,quantization,32
165.0,2.8739,30.896,0.64,57.7741,28.45,6.04,6.0474,quantization,33
170.0,2.8754,30.9588,0.64,58.1801,28.4,6.04,6.0429,quantization,34
175.0,2.8777,30.9987,0.63,57.9753,28.5,6.04,6.0361,quantization,35
180.0,2.8801,31.111,0.66,58.1645,28.35,6.02,6.0291,quantization,36
185.0,2.8806,31.0263,0.63,57.4073,28.45,6.02,6.0278,quantization,37
190.0,2.8824,31.0081,0.65,58.6658,28.55,6.02,6.0223,quantization,38
195.0,2.8844,31.2079,0.65,58.0769,28.45,6.02,6.0165,quantization,39
200.0,2.8833,31.0166,0.65,57.7791,28.45,6.02,6.0197,quantization,40
205.0,2.8856,30.9706,0.65,58.4223,28.45,6.02,6.0128,quantization,41
210.0,2.8905,31.325,0.65,59.3266,28.45,6.0,5.9985,quantization,42
215.0,2.8947,31.1681,0.66,58.9616,28.5,5.98,5.9862,quantization,43
220.0,2.8964,31.2044,0.65,59.1079,28.45,5.98,5.9812,quantization,44
225.0,2.8951,31.2504,0.65,58.2475,28.45,5.98,5.9851,quantization,45
230.0,2.8947,31.351,0.65,59.0971,28.35,5.98,5.9863,quantization,46
235.0,2.8946,31.1327,0.65,58.4161,28.3,5.98,5.9864,quantization,47
240.0,2.8971,31.2956,0.66,58.4617,28.25,5.98,5.9792,quantization,48
245.0,2.8987,31.3893,0.64,58.8294,28.35,5.98,5.9745,quantization,49
250.0,2.8975,31.3794,0.65,58.428,28.3,5.98,5.9779,quantization,50
255.0,2.8976,31.2156,0.65,58.6096,28.25,5.98,5.9776,quantization,51
260.0,2.8995,31.2882,0.64,58.4037,28.25,5.98,5.9722,quantization,52
265.0,2.899,31.467,0.66,58.9349,28.2,5.98,5.9736,quantization,53
270.0,2.9005,31.2889,0.63,58.2824,28.15,5.96,5.969,quantization,54
275.0,2.9053,31.5899,0.65,58.7905,28.3,5.96,5.9549,quantization,55
280.0,2.9062,31.6488,0.65,58.9102,28.15,5.96,5.9524,quantization,56
285.0,2.9046,31.646,0.64,58.7934,28.25,5.96,5.957,quantization,57
290.0,2.9061,31.579,0.66,58.9678,28.0,5.96,5.9528,quantization,58
295.0,2.9061,31.5892,0.65,58.8721,28.15,5.96,5.9526,quantization,59
300.0,2.9074,31.44,0.65,59.0834,28.05,5.94,5.9488,quantization,60
305.0,2.9095,31.6172,0.65,59.6417,28.15,5.94,5.9428,quantization,61
310.0,2.9143,31.6048,0.66,59.2311,28.05,5.92,5.9287,quantization,62
315.0,2.9133,31.6021,0.65,59.2394,28.1,5.94,5.9314,quantization,63
320.0,2.9095,31.3929,0.65,58.9644,27.95,5.94,5.9426,quantization,64
325.0,2.9078,31.6426,0.65,59.2091,28.05,5.94,5.9477,quantization,65
330.0,2.9102,31.6527,0.65,59.3231,28.05,5.94,5.9405,quantization,66
335.0,2.9078,31.3271,0.66,59.7749,28.05,5.94,5.9477,quantization,67
340.0,2.9095,31.5495,0.66,59.2051,28.3,5.94,5.9427,quantization,68
345.0,2.9108,31.6612,0.64,59.0803,28.15,5.94,5.9387,quantization,69
350.0,2.912,31.6243,0.66,59.0038,28.1,5.94,5.9352,quantization,70
355.0,2.9101,31.4825,0.66,59.9717,28.25,5.94,5.941,quantization,71
360.0,2.9132,31.6735,0.65,59.0269,28.15,5.94,5.9317,quantization,72
365.0,2.9138,31.2327,0.66,59.4466,28.1,5.94,5.9301,quantization,73
370.0,2.9139,31.3774,0.64,59.162,28.2,5.92,5.9296,quantization,74
375.0,2.9181,31.6542,0.66,59.2297,28.3,5.92,5.9173,quantization,75
380.0,2.9164,31.602,0.66,59.9416,28.3,5.92,5.9224,quantization,76
385.0,2.914,31.544,0.65,59.588,28.2,5.92,5.9295,quantization,77
390.0,2.9117,31.6275,0.67,60.1702,28.1,5.94,5.9362,quantization,78
395.0,2.909,31.5345,0.66,58.9481,28.25,5.94,5.9441,quantization,79
400.0,2.9132,31.6477,0.66,59.3508,28.55,5.94,5.9316,quantization,80
405.0,2.9135,31.774,0.64,59.8964,28.4,5.94,5.9308,quantization,81
410.0,2.9152,31.5542,0.66,59.5785,28.3,5.92,5.9259,quantization,82
415.0,2.9161,31.604,0.66,59.4993,28.4,5.92,5.9231,quantization,83
420.0,2.9175,31.5583,0.66,59.3029,28.5,5.92,5.919,quantization,84
425.0,2.9198,31.6701,0.64,59.9598,28.35,5.92,5.9122,quantization,85
430.0,2.9213,31.6861,0.65,59.5261,28.4,5.9,5.9078,quantization,86
435.0,2.9222,31.7389,0.65,59.6171,28.45,5.9,5.9052,quantization,87
440.0,2.9247,31.669,0.67,60.4035,28.5,5.9,5.898,quantization,88
445.0,2.9263,31.8373,0.66,59.9264,28.4,5.9,5.8934,quantization,89
450.0,2.9285,31.8615,0.65,59.907,28.6,5.88,5.8868,quantization,90
455.0,2.9287,31.9772,0.66,60.5437,28.55,5.88,5.8862,quantization,91
460.0,2.9304,31.7867,0.67,60.956,28.65,5.88,5.8813,quantization,92
465.0,2.9322,31.8459,0.66,60.2006,28.75,5.88,5.8759,quantization,93
